2024-11-04 12:12:23 - Score: 824, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7503923181188847, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:12:39 - Score: 1144, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7391364333471014, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:12:54 - Score: 1032, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7280493868468949, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:13:08 - Score: 488, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.7171286460441915, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:13:23 - Score: 756, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7063717163535286, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:13:43 - Score: 1888, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6957761406082257, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:13:59 - Score: 648, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6853394984991023, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:14:15 - Score: 740, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6750594060216157, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:14:32 - Score: 1324, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6649335149312915, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:14:46 - Score: 716, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6549595122073221, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:15:04 - Score: 1028, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6451351195242122, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:15:19 - Score: 1100, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.635458092731349, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:15:36 - Score: 1368, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6259262213403788, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:15:59 - Score: 2236, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.6165373280202731, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:16:17 - Score: 1248, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.607289268099969, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:16:34 - Score: 1336, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5981799290784694, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:16:50 - Score: 1040, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5892072301422924, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:17:07 - Score: 1064, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.580369121690158, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:17:23 - Score: 1232, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.5716635848648056, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:17:37 - Score: 240, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.5630886310918335, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:17:54 - Score: 664, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.554642301625456, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:18:08 - Score: 320, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.5463226671010741, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:18:24 - Score: 392, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.538127827094558, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:18:41 - Score: 816, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5300559096881396, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:18:58 - Score: 640, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5221050710428176, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:19:16 - Score: 776, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5142734949771753, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:19:34 - Score: 784, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.5065593925525177, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:19:55 - Score: 1308, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.4989610016642299, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:20:14 - Score: 832, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.49147658663926647, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:20:34 - Score: 792, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.48410443783967744, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:20:53 - Score: 576, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.47684287127208225, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:25:21 - Score: 184, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:25:21 - Score: 592, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:25:39 - Score: 868, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:25:55 - Score: 832, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:26:12 - Score: 688, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.955671625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:26:27 - Score: 1280, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.941336550625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:26:41 - Score: 2172, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.927216502365625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:26:55 - Score: 968, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.9133082548301407, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:27:08 - Score: 680, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8996086310076885, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:27:25 - Score: 1552, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8861145015425732, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:27:44 - Score: 2428, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.8728227840194346, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:28:01 - Score: 264, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.8597304422591431, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:28:17 - Score: 1072, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8468344856252559, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:28:41 - Score: 680, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.834131968340877, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:29:00 - Score: 1012, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8216199888157638, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:29:16 - Score: 908, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8092956889835273, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:29:34 - Score: 664, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7971562536487744, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:29:50 - Score: 856, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7851989098440427, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:30:08 - Score: 1052, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.773420926196382, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:30:28 - Score: 1324, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7618196123034363, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:30:46 - Score: 1252, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7503923181188847, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:31:03 - Score: 304, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.7391364333471014, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:31:20 - Score: 748, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7280493868468949, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:31:42 - Score: 488, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7171286460441915, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:32:03 - Score: 760, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7063717163535286, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:32:28 - Score: 2256, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.6957761406082257, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:38:51 - Score: 616, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:39:08 - Score: 608, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:39:21 - Score: 1248, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
